Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,99465.00,100442.00,102803.00,106142.00,108185.00,100685.00,96640.00,63446.00,347.00,286.64,0.99,0.00
133,URY,Uruguay,Montevideo,South America,3422794.00,3429086.00,3402818.00,3352651.00,3292224.00,3117012.00,2953750.00,2790265.00,181034.00,18.91,1.00,0.04
43,UZB,Uzbekistan,Tashkent,Asia,34627652.00,33526656.00,30949417.00,28614227.00,24925554.00,20579100.00,15947129.00,12011361.00,447400.00,77.40,1.02,0.43
181,VUT,Vanuatu,Port-Vila,Oceania,326740.00,311685.00,276438.00,245453.00,192074.00,150882.00,118156.00,87019.00,12189.00,26.81,1.02,0.00
234,VAT,Vatican City,Vatican City,Europe,510.00,520.00,564.00,596.00,651.00,700.00,733.00,752.00,1.00,510.00,1.00,0.00
51,VEN,Venezuela,Caracas,South America,28301696.00,28490453.00,30529716.00,28715022.00,,19750579.00,15210443.00,11355475.00,,30.88,1.00,0.35
16,VNM,Vietnam,Hanoi,Asia,98186856.00,96648685.00,92191398.00,87411012.00,79001142.00,66912613.00,52968270.00,41928849.00,331212.00,296.45,1.01,1.23
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,11572.00,11655.00,12182.00,13142.00,14723.00,13454.00,11315.00,9377.00,142.00,81.49,1.00,0.00
172,ESH,Western Sahara,El Aaiún,Africa,575986.00,556048.00,491824.00,413296.00,270375.00,178529.00,116775.00,76371.00,266000.00,2.17,1.02,0.01
46,YEM,Yemen,Sanaa,Asia,33696614.00,32284046.00,28516545.00,24743946.00,18628700.00,13375121.00,9204938.00,6843607.00,527968.00,63.82,1.02,0.42
63,ZMB,Zambia,Lusaka,Africa,20017675.00,18927715.00,,13792086.00,9891136.00,7686401.00,5720438.00,4281671.00,752612.00,26.60,1.03,0.25
74,ZWE,Zimbabwe,Harare,Africa,16320537.00,15669666.00,14154937.00,12839771.00,11834676.00,10113893.00,7049926.00,5202918.00,390757.00,41.77,1.02,0.20
